rank,symbol,company_name,industry,equity_capital,free_float_market_cap,weight,beta,r2,volatility,monthly_return,impact_cost,report_date,source_file
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,6215962720.0,60167.41,1.27,1.22,0.32,1.01,-4.24,0.02,2019-04-01,nifty50_apr19.csv
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300.0,88606.61,1.87,1.13,0.29,1.55,-0.09,0.02,2019-04-01,nifty50_apr19.csv
34,NTPC,NTPC Ltd.,POWER,98945572800.0,54380.98,1.15,0.62,0.12,0.78,-0.48,0.03,2019-04-01,nifty50_apr19.csv
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,62901396030.0,51086.0,1.08,1.01,0.17,1.37,5.92,0.03,2019-04-01,nifty50_apr19.csv
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480.0,42907.41,0.91,0.56,0.1,1.03,-5.81,0.02,2019-04-01,nifty50_apr19.csv
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,63386926930.0,476740.68,10.07,1.46,0.45,1.42,2.17,0.02,2019-04-01,nifty50_apr19.csv
38,SBIN,State Bank of India,BANKS,8924611534.0,116179.7,2.45,1.34,0.33,1.34,-3.37,0.02,2019-04-01,nifty50_apr19.csv
39,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2399334970.0,50510.56,1.07,0.84,0.08,1.35,-4.43,0.02,2019-04-01,nifty50_apr19.csv
40,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,3752384706.0,237487.68,5.01,0.48,0.06,1.72,12.92,0.02,2019-04-01,nifty50_apr19.csv
41,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5774697388.0,38981.81,0.82,1.43,0.17,3.22,22.98,0.03,2019-04-01,nifty50_apr19.csv
42,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,11266144590.0,42059.22,0.89,1.31,0.26,2.37,6.95,0.02,2019-04-01,nifty50_apr19.csv
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,4916812350.0,52620.12,1.11,0.7,0.09,0.9,7.76,0.02,2019-04-01,nifty50_apr19.csv
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160.0,48341.6,1.02,0.85,0.16,0.99,1.46,0.02,2019-04-01,nifty50_apr19.csv
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,1018685340.0,35541.32,0.75,1.19,0.2,0.78,1.07,0.02,2019-04-01,nifty50_apr19.csv
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2746405120.0,48182.49,1.02,1.14,0.27,1.76,15.47,0.03,2019-04-01,nifty50_apr19.csv
47,VEDL,Vedanta Ltd.,MINING,3717196639.0,30390.5,0.64,1.29,0.17,1.72,-9.54,0.03,2019-04-01,nifty50_apr19.csv
48,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,12067753442.0,45035.35,0.95,0.47,0.06,1.29,17.17,0.02,2019-04-01,nifty50_apr19.csv
49,YESBANK,Yes Bank Ltd.,BANKS,4627651922.0,31097.82,0.66,1.11,0.04,6.91,-38.93,0.03,2019-04-01,nifty50_apr19.csv
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960466500.0,24098.87,0.51,0.78,0.05,2.12,-2.9,0.03,2019-04-01,nifty50_apr19.csv
1,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4141903522.0,32769.08,0.68,1.41,0.27,2.81,6.01,0.03,2019-05-01,nifty50_may19.csv
2,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790.0,63444.32,1.32,0.96,0.31,1.48,-3.82,0.02,2019-05-01,nifty50_may19.csv
3,AXISBANK,Axis Bank Ltd.,BANKS,5142458262.0,157952.66,3.29,1.15,0.31,1.51,5.41,0.02,2019-05-01,nifty50_may19.csv
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200.0,39792.97,0.83,0.75,0.15,1.44,-1.95,0.02,2019-05-01,nifty50_may19.csv
5,BAJFINANCE,Bajaj Finance Ltd.,FINANCE,1155936776.0,82158.84,1.71,1.45,0.3,2.31,11.99,0.02,2019-05-01,nifty50_may19.csv
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795680555.0,49513.94,1.03,1.36,0.37,1.72,8.88,0.03,2019-05-01,nifty50_may19.csv
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,21692527440.0,31967.41,0.67,1.54,0.23,2.23,7.77,0.02,2019-05-01,nifty50_may19.csv
8,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,25654955910.0,59059.76,1.23,1.23,0.21,2.33,8.9,0.03,2019-05-01,nifty50_may19.csv
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18496082460.0,22887.05,0.48,0.3,0.02,1.79,2.46,0.03,2019-05-01,nifty50_may19.csv
10,BRITANNIA,Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,240318294.0,34407.7,0.72,0.76,0.2,1.43,0.89,0.02,2019-05-01,nifty50_may19.csv
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1611398096.0,28366.69,0.59,0.75,0.16,1.35,-1.09,0.02,2019-05-01,nifty50_may19.csv
12,COALINDIA,Coal India Ltd.,MINING,62074091770.0,42486.61,0.88,0.45,0.06,1.25,0.54,0.03,2019-05-01,nifty50_may19.csv
13,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,830304305.0,32468.14,0.68,0.26,0.01,1.65,-8.71,0.02,2019-05-01,nifty50_may19.csv
14,EICHERMOT,Eicher Motors Ltd.,AUTOMOBILES - 4 WHEELERS,272825700.0,27755.52,0.58,1.39,0.26,2.54,-2.06,0.02,2019-05-01,nifty50_may19.csv
15,GAIL,GAIL (India) Ltd.,GAS,22550709330.0,32563.22,0.68,0.92,0.16,1.89,1.42,0.02,2019-05-01,nifty50_may19.csv
